featureId,featurename,project,category,sub_category,data_type,description,status,source,owner
2113,SportsCardNonNavClicks30dWStatSum,WPO,wpo_sdcard,SportsCard,double,,active,WPOFeatureLoadAPI.view,
2114,TravelCard30dWStatNavCTR,WPO,wpo_sdcard,TravelCard,double,,active,WPOFeatureLoadAPI.view,
2115,TrendingNowCard7dWStatCTR,WPO,wpo_sdcard,TrendingNowCard,double,,active,WPOFeatureLoadAPI.view,
2116,NextDoorCardViewCount30dWStatCount,WPO,wpo_sdcard,NextDoorCard,double,,active,WPOFeatureLoadAPI.view,
2117,TrafficCard7dWStatNavCTR,WPO,wpo_sdcard,TrafficCard,double,,active,WPOFeatureLoadAPI.view,
2118,MoneyCardViewCount7dWStatSum,WPO,wpo_sdcard,MoneyCard,double,,active,WPOFeatureLoadAPI.view,
2119,HealthTipCard30dWStatNavCTR,WPO,wpo_sdcard,HealthTipCard,double,,active,WPOFeatureLoadAPI.view,
2120,TravelCardNonNavClicks30dWStatSum,WPO,wpo_sdcard,TravelCard,double,,active,WPOFeatureLoadAPI.view,
2121,RealEstateCardNavClicks30dWStatCount,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2122,RealEstateCardViewCount30dWStatCount,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2123,SportsCardViewCount30dWStatSum,WPO,wpo_sdcard,SportsCard,double,,active,WPOFeatureLoadAPI.view,
2124,NextDoorCardNonNavClicks7dWStatSum,WPO,wpo_sdcard,NextDoorCard,double,,active,WPOFeatureLoadAPI.view,
2125,ShopCardViewCount30dWStatSum,WPO,wpo_sdcard,ShopCard,double,,active,WPOFeatureLoadAPI.view,
2126,TopStoriesCard30dWStatNavCTR,WPO,wpo_sdcard,TopStoriesCard,double,,active,WPOFeatureLoadAPI.view,
2127,TrendingNowCardNonNavClicks30dWStatSum,WPO,wpo_sdcard,TrendingNowCard,double,,active,WPOFeatureLoadAPI.view,
2128,FitnessCard7dWStatCTR,WPO,wpo_sdcard,FitnessCard,double,,active,WPOFeatureLoadAPI.view,
2129,HealthTipCardViewCount7dWStatSum,WPO,wpo_sdcard,HealthTipCard,double,,active,WPOFeatureLoadAPI.view,
2130,SportsCardViewCount7dWStatCount,WPO,wpo_sdcard,SportsCard,double,,active,WPOFeatureLoadAPI.view,
2131,PollsCard30dWStatCTR,WPO,wpo_sdcard,PollsCard,double,,active,WPOFeatureLoadAPI.view,
2132,TravelCardViewCount30dWStatCount,WPO,wpo_sdcard,TravelCard,double,,active,WPOFeatureLoadAPI.view,
2133,HealthTipCard7dWStatNavCTR,WPO,wpo_sdcard,HealthTipCard,double,,active,WPOFeatureLoadAPI.view,
2134,IndustryNewsCard30dWStatCTR,WPO,wpo_sdcard,IndustryNewsCard,double,,active,WPOFeatureLoadAPI.view,
2135,RealEstateCardNonNavClicks30dWStatCount,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2136,PollsCardViewCount7dWStatCount,WPO,wpo_sdcard,PollsCard,double,,active,WPOFeatureLoadAPI.view,
2137,MoneyCard7dWStatCTR,WPO,wpo_sdcard,MoneyCard,double,,active,WPOFeatureLoadAPI.view,
